詞目id,義項id,詞性,解說
2266,3136,熟語,樹頭鮮。成熟度為八、九分以上才摘取下來的水果。它的味道比六、七分熟就摘取下來催熟的水果甜美。引申「催熟」臺灣閩南語說成「隱」。「在欉黃」的水果不需催熟，說成「無隱」，諧音「無穩」，意思就是「不穩當」。
2315,3222,熟語,沒有病痛的人。
2320,3227,熟語,不過爾爾。不過就是這樣而已。
2320,3228,熟語,如此云云，表示就是這樣。
2330,3240,熟語,指孩子健康，很好養育。
2392,3315,熟語,指人手腳細嫩，不適合粗活。
2446,3417,熟語,說一不二。形容說話算話，堅定不移。
2453,3430,熟語,死樣子、死相。罵人的話。
2480,3460,熟語,准聽不准說。是一種斥責小孩子在不當場合亂說話的說法。
2481,3461,熟語,吃閒飯。比喻只消費而不事生產。
2494,3478,熟語,指那些沒有意義或沒有內容的事情。
2495,3479,熟語,器物接合的地方，凸的部分叫「榫」，就是「榫頭」，凹陷的部分叫「空」，就是「榫眼」。有凹進去的榫眼，卻沒有接合的榫頭，用來比喻不合理、不著邊際或沒有結果的事情。
2502,3487,熟語,對事情嚴重程度的一種慣用說法。
2508,3493,熟語,定時、有時間性。
2508,3494,熟語,偶爾、非經常性。
2545,3538,熟語,金盆洗手。江湖人物宣布退隱的儀式。使用金盆以表示決心的堅定，故稱為金盆洗手。
2548,3542,熟語,死在路邊，是詛咒別人慘遭橫死的一種說法。
2568,3562,熟語,指不肯承擔責任，硬要賴給別人。
2572,3566,熟語,有始有終。有開頭，有結尾，比喻做事貫徹到底。
2656,3697,熟語,比喻問題或者事故很多。
2656,3698,熟語,指瑕疵漏洞很多。
2657,3699,熟語,自己做錯事或者講錯話，由自己承擔後果。
2658,3700,熟語,自己所造的惡孽。
2691,3735,熟語,走後門。利用不正當的手段來達到某種目的。
2707,3753,熟語,氣定神閒、處之泰然。遇到事情時態度鎮定，神色自若，自信到彷彿一切情況都在掌握中。
2992,4131,熟語,形容一個家庭吵鬧不休，不得安寧。
2993,4132,熟語,吵得家裡不得安寧。
3012,4152,熟語,殺雞儆猴、殺一儆百。懲罰一個人以警告其他人服從的權術。
3168,4385,熟語,比喻煽動、挑撥使兩方爭鬥。
3312,4604,熟語,求神拜佛。向神佛祈求保祐。
3452,4827,熟語,分不開身。
3453,4828,熟語,脫逃不了或閃躲不及。
3465,4840,熟語,喪家在喪禮中請道士做法事的時候，道士手裡拿著紙馬紙人，在法壇四周來回遊走，是一種為死者超渡的儀式。
3534,4942,熟語,裝蒜。裝不知道。
3577,4993,熟語,裝瘋賣傻。
3624,5073,熟語,丟人現眼。
3639,5090,熟語,初次見面。
3658,5110,熟語,使祖上蒙羞。
3662,5114,熟語,不敢當、承受不起。謙虛語。
3665,5117,熟語,不肯承擔責任、把責任推得一乾二淨。
3670,5122,熟語,擔待不起。一種謙虛的話。
3798,5299,熟語,兩家人的女兒互相嫁到對方家裡去。自己家中的女兒為「姑」，娶進來的是「嫂」。家中的「姑」出嫁，其婆家的女兒又嫁到自己家中，就會有「姑」換「嫂」的情況。被視為親上加親，或較貧困的家庭難以置辦聘金與嫁妝的情況下一種連姻的選擇。
3823,5350,熟語,咒罵人老年時會像無毛雞一樣沒有毛保暖，絕子絕孫、孤苦無依。
3824,5351,熟語,咒罵人絕子絕孫、孤老無依。
4024,5695,熟語,長期生病無法治癒或身體狀況很差，多用於形容人在這種狀態下還必須極度辛苦地過日子。
4050,5723,熟語,罵人的話，用在許多的狀況中，但多用在罵人做事拖拉遲緩。
4050,5724,熟語,被折磨得很淒慘。
4063,5739,熟語,併吞、生吞活剝。吞進肚子裡，引申為用強烈的手段侵占欺負他人。
4076,5755,熟語,不照原來的約定之行程或過程，中途拋棄或爽約。
4095,5776,熟語,打通關。在酒宴上向人輪番敬酒一個巡迴。
4128,5817,熟語,開夜車、熬夜。比喻為了趕時間，利用夜晚休息時間繼續工作或學習。
4145,5839,熟語,自家養的母豬與別人的種豬交配生產時，出種豬的一方可分得部分仔豬。引申為女兒出嫁所生的小孩中，選其中一、兩人(通常包括次子)從母姓，叫做「抽豬母稅」。
4226,5952,熟語,形容亂七八糟的樣子。
4345,6113,熟語,父親年事已高，兒子年紀尚小，彼此雙方年歲相差甚大。
4457,6285,熟語,習慣性流產。因為先天性的染色體異常或產婦本身子宮異常等不明原因，造成多次自然流產即稱為習慣性流產，這種情形，俗稱「花袂牢枝」。
4577,6451,熟語,本指人的臉色青綠，長牙外露。形容面貌凶惡可怕。亦可指鬼卒。
4623,6503,熟語,喜新厭舊。喜歡新的，厭棄舊的。大多形容人對愛情不專一。
4638,6518,熟語,住在廟宇附近，而對廟內神明心存輕視不敬的態度。引申為對身旁的人表現出輕忽、漠視的態度。
4639,6519,熟語,突如其來。形容出乎意料的突然來到或發生。
4685,6579,熟語,折壽。折損本來應該享有的壽命。
4715,6624,熟語,事情的起因和結果。
4793,6730,熟語,罵人如喪父喪母般吵吵嚷嚷、鬼吼鬼叫、呼天搶地。
4808,6745,熟語,表示抱怨或表達情緒的詞。
4861,6823,熟語,指度過較不景氣的時機。
4871,6834,熟語,隱隱作痛。
5003,7029,熟語,掏心挖肺，表示真心誠意。
5026,7060,熟語,為什麼。詢問目的或原因的疑問詞，現今受華語影響，漸漸地被「為啥物」(uī-siánn-mih)取代。
5047,7084,熟語,兩對夫婦在彼此妻子懷孕時，為腹中的胎兒定下婚約，如果將來雙方妻子所生下的孩子為一男一女，長大後就讓他們結為夫妻。
5114,7160,熟語,小孩子不管餓或飽，都會吵鬧不休，泛指無理取鬧。
5143,7206,熟語,過去是指紅杏出牆的老婆被先生捉姦後，透過旁人協調，由姦夫準備炮燭登門謝罪。後用於一般事件上，由被傷害者向傷害者求償，以彌補內心的不滿。
5208,7300,熟語,特指好色之徒見美色而流口水的樣子。
5237,7343,熟語,來往、打交道。
5244,7351,熟語,互相洩底。
5265,7376,熟語,摩肩接踵。指人多且擁擠的樣子。
5424,7590,熟語,臉色紅潤，形容身體健康。
5467,7641,熟語,好像有又好像沒有的意思。
5535,7733,熟語,指不平衡、輕重不一或不公平。
5582,7809,熟語,指不在家吃飯，到外面用餐。
5604,7838,熟語,茶來伸手，飯來張口。形容人只知生活的享受，卻不知享受的條件來自別人勞動的辛苦。
