詞目id,義項id,詞性,解說
2578,3573,形容詞,數量多而且足夠可用。
2585,3583,形容詞,形容數量很多。
2586,3585,形容詞,竹製的。
2589,3591,形容詞,熟練、經驗豐富。
2589,3593,形容詞,時間悠久的。
2590,3595,形容詞,年紀大。
2590,3596,形容詞,陳舊的、時間長久的。
2595,3612,形容詞,指人豐腴的樣子。
2634,3673,形容詞,半閉眼。形容人睡覺時眼睛像羊一樣沒辦法完全閉上的狀況。
2648,3689,形容詞,指人能依照自己的意志行事，不受外力拘束或限制。
2650,3691,形容詞,形容心境上的愉快、舒暢，不受拘束。
2659,3702,形容詞,以自己為中心的觀念。
2661,3704,形容詞,老成穩重。
2663,3706,形容詞,只想到自己的利益，不顧及他人。
2682,3726,形容詞,耳背、重聽。聽覺遲鈍、不靈敏。
2684,3728,形容詞,指人耳根軟，容易聽信別人的話。
2698,3743,形容詞,形容人因為年老、衰弱而導致體型縮小。
2715,3761,形容詞,不憑藉外在力量而自己主動作為。
2723,3770,形容詞,形容人雖年老但是身體還是一樣健康，是一種祝賀語。
2739,3788,形容詞,指行銷多年而且信譽良好、受人信任的貨物品牌。
2739,3789,形容詞,比喻資格老、實力受到肯定的人物。
2741,3792,形容詞,天然，沒有經過人為加工的。
2743,3794,形容詞,老糊塗。罵人年老而言行反覆無常。
2744,3795,形容詞,形容人很老。
2757,3810,形容詞,多肉的感覺。一般多指體態豐滿。
2771,3824,形容詞,指人誠實不虛偽、正直。
2783,3838,形容詞,多樣、多種。
2789,3844,形容詞,形容做事手法好，經驗豐富。
2796,3853,形容詞,糾纏不清，如米糕一樣濕黏。
2821,3882,形容詞,指老年人腦力和記憶力衰退，說話做事顛三倒四。
2855,3926,形容詞,平整。
2874,3965,形容詞,寒、涼、溫度低。
2874,3966,形容詞,淡漠、不熱烈。
2874,3967,形容詞,平心靜氣、沉著穩重。
2895,3990,形容詞,冷冰冰。形容非常冷。
2908,4005,形容詞,輕便。
2908,4006,形容詞,指人聰明靈巧。
2908,4007,形容詞,動作靈巧。
2936,4040,形容詞,沉著、理智，不感情用事。
2938,4042,形容詞,吃虧。
2938,4043,形容詞,可憐、委屈。
2948,4061,形容詞,另外的。
2949,4064,形容詞,另外的。
2950,4065,形容詞,形容器物或五官的能力很尖銳。
2950,4066,形容詞,形容物品效力較強，容易產生傷害性的效果。
2964,4093,形容詞,形容聲音雜亂的樣子。
2988,4126,形容詞,方便、便利。
3014,4154,形容詞,指一個人腦袋不靈活或動作不靈敏。
3022,4172,形容詞,建築物所座落的方向。
3032,4185,形容詞,坎坷。形容道路崎嶇不平，不好走。多用來比喻人生際遇不順利。
3035,4188,形容詞,貧困艱苦。
3047,4201,形容詞,艱難。事情複雜或阻礙多，不容易完成。
3050,4206,形容詞,神奇、巧妙。
3056,4223,形容詞,倒數。
3058,4228,形容詞,部分。
3079,4259,形容詞,完整齊全，一點也不差。
3083,4264,形容詞,愚蠢、痴呆。
3090,4273,形容詞,末了、後面、後頭。指時間、空間上的順序較現在這個地方還要來得晚、來得後面的。
3106,4289,形容詞,形容人雖然個子瘦小，但在言談中又喜歡表現出囂張、臭屁的樣子。
3116,4303,形容詞,穩當、適當。
3120,4308,形容詞,形容女子妖豔嬌媚。
3134,4334,形容詞,狠心。
3138,4339,形容詞,迅速的。
3138,4341,形容詞,輕鬆、愉快的。
3166,4383,形容詞,因為摻合不同食材，造成味道彼此不相合。
3170,4388,形容詞,愉快、舒服。
3170,4389,形容詞,形容生活寬裕的。
3180,4402,形容詞,形容手腳快、動作敏捷。
3180,4403,形容詞,指器物短小而易操作。
3207,4451,形容詞,彎曲。
3263,4523,形容詞,意見、理念符合。
3263,4524,形容詞,利用短暫的機會來獲取利益。
3274,4540,形容詞,緊繃。
3278,4548,形容詞,味道淡、不鹹。
3282,4556,形容詞,形容顏色深。
3282,4557,形容詞,大人擔心小孩子會養不大，所以避諱用「重」，改用「沉」。
3287,4570,形容詞,摸起來灰塵很多的樣子或是質感粗糙。
3287,4571,形容詞,瓜果肉質鬆散，像沙子一樣。
3299,4586,形容詞,形容吃入口中有嚼沙、酥脆的粉末感覺。
3299,4587,形容詞,形容觸摸灰塵的感覺。
3301,4590,形容詞,水沸騰的樣子。
3301,4591,形容詞,引申為人氣沸騰、熱鬧非凡。
3302,4593,形容詞,比喻基礎穩固。
3309,4600,形容詞,形容病勢嚴重或壓力、負擔很大。
3311,4602,形容詞,形容人囉嗦，不乾脆。
3316,4609,形容詞,小巧玲瓏不虛大，而且結實大方。
3330,4628,形容詞,緊密結合分不開。
3330,4629,形容詞,染上癮頭。
3331,4633,形容詞,氣勢壯大的、猛烈的。
3331,4635,形容詞,慌忙、慌亂。
3337,4648,形容詞,私人的、自己的。
3337,4649,形容詞,秘密的、非公開的。
3355,4673,形容詞,不是政府設立，由財團法人或私人創辦的。
3360,4678,形容詞,稀客。對很少到訪的客人表示歡迎的招呼語。
3362,4680,形容詞,少見。難得遇見。
3364,4684,形容詞,私密、不為人知的。
3367,4687,形容詞,清秀。形容秀美不俗的樣子。
3374,4696,形容詞,肚子脹大。
3389,4725,形容詞,裸露、空無一物。
3389,4726,形容詞,烹調食物的時候因為火候足夠使得食物呈現微焦的紅棕色，但是還沒有燒焦的程度。
3391,4733,形容詞,夠量的、不缺乏的。
3395,4752,形容詞,勞苦、勞累、痛苦。
3398,4760,形容詞,不正當、邪惡的。
3444,4815,形容詞,辛勞。形容身心勞累。
3473,4848,形容詞,形容自煙花界出身的女人。
3477,4853,形容詞,慌張忙亂。
3483,4860,形容詞,形容有活力的樣子。
3520,4906,形容詞,形容懂事、順從。
3520,4907,形容詞,彆扭、性情怪異。
3540,4950,形容詞,形容人聰明伶俐，討人喜歡。
3588,5010,形容詞,農曆每月一至十日，皆於數字前冠上「初」字表示日期。
3589,5013,形容詞,最低的、基礎的、起始的。
3597,5026,形容詞,兇悍的樣子。
3597,5028,形容詞,如針刺不舒服的感覺。
3626,5075,形容詞,形容人精神渙散，漫不經心。
3626,5076,形容詞,形容東西品質不好。
3649,5100,形容詞,刺癢。因為生理上的不舒服而發癢，以致使人感覺煩躁。
3649,5101,形容詞,各種不舒服、不愉快的感覺。
3652,5104,形容詞,丟臉、丟人現眼。
3661,5113,形容詞,潑辣。形容女人兇巴巴。
3668,5120,形容詞,守分。形容勤勉老實聽從父母的孩子。
3674,5127,形容詞,形容人品格低下。
3677,5130,形容詞,下賤、鄙賤。形容地位卑微低賤。
3684,5137,形容詞,實在。實體存在，不抽象。
3685,5138,形容詞,刺癢、刺眼。被東西扎到的感覺。
3685,5139,形容詞,使人心裡不舒服或感覺討厭。
3706,5182,形容詞,形容和諧安寧，沒有爭執。
3707,5183,形容詞,形容個性直率，毫無隱瞞。
3708,5184,形容詞,周全。周全細密，考慮完備。
3709,5185,形容詞,周到。面面俱到，沒有疏漏。
3711,5187,形容詞,面面俱到，沒有疏漏。
3716,5194,形容詞,穩定的、不變動的。
3725,5203,形容詞,平和、和善。形容和睦融洽的樣子。
3730,5208,形容詞,形容堅持自己的意見，不肯變通。
3731,5209,形容詞,周全。周全細密，考慮完備。
3736,5214,形容詞,側身。形容人的身體向左右兩邊偏斜的狀態。
3737,5215,形容詞,形容平和柔順的樣子。
3739,5217,形容詞,形容相處和諧的樣子。
3753,5234,形容詞,塵土飛揚、瀰漫。
3756,5238,形容詞,時髦。
3757,5239,形容詞,奇怪、不合常理。
3774,5266,形容詞,奇妙、珍奇。少見而且精緻的。
3777,5271,形容詞,骯髒。汙穢，不乾淨。
3778,5273,形容詞,不衛生。
3780,5275,形容詞,神奇奧妙。
3783,5280,形容詞,不可思議、不尋常的。
3787,5285,形容詞,形容塵土飛揚的樣子。
3805,5307,形容詞,骯髒。
3807,5311,形容詞,單獨無伴的。
3810,5317,形容詞,平靜、安定、穏定。
3810,5318,形容詞,確定。
3819,5341,形容詞,最低點。
3819,5345,形容詞,原本的。
3822,5349,形容詞,孤僻。不喜歡交際。
3849,5379,形容詞,孤身一人而且沒有依靠。
3853,5386,形容詞,穩重。
3861,5397,形容詞,仗著官位、權勢擺威風的行為。
3862,5398,形容詞,形容凡事順利，生活圓滿的樣子。
3865,5401,形容詞,孤僻、寡合。指人的性情乖異，不喜歡與人交際、親近。
3866,5402,形容詞,孤單。
3877,5419,形容詞,過去、昔日。
3878,5421,形容詞,過去、昔日。
3879,5423,形容詞,疲累。
3879,5424,形容詞,慘重。形容程度深、嚴重。
3884,5437,形容詞,奇異的。
3886,5443,形容詞,形容人的下巴突出，像戽斗一樣。
3907,5466,形容詞,呆、傻。形容人腦筋單純，不聰敏。
3907,5467,形容詞,心不在焉。形容人心思不集中。
3909,5469,形容詞,形容人秉性忠誠正直。
3910,5470,形容詞,老實。形容人的品性忠實寬厚。
3914,5476,形容詞,人在行為和思想上個性鮮明獨特。
3929,5493,形容詞,非常疲累。
3929,5494,形容詞,情況很嚴重。
3971,5627,形容詞,火勢猛烈。
3971,5628,形容詞,興盛的。
3971,5629,形容詞,植物生長茂盛。
3971,5630,形容詞,聲音洪亮。
3971,5631,形容詞,香火鼎盛。
3971,5632,形容詞,頭髮多。
3991,5654,形容詞,正好。恰巧、剛好。
4005,5671,形容詞,剛好、湊巧。
4009,5676,形容詞,擁有。
4010,5677,形容詞,一切、全部。
4021,5691,形容詞,形容人做事拖泥帶水、不乾脆。
4022,5693,形容詞,拘謹、不活潑。
4036,5709,形容詞,散漫、馬虎。草率不認真。
4054,5728,形容詞,節省、節儉。
4068,5744,形容詞,形容一個人不成器，一輩子都沒有用、沒出息。
4085,5765,形容詞,溫溫的。微溫而不熱。
4115,5800,形容詞,拚命。做事情很努力、不計一切。
4119,5807,形容詞,可惜、惋惜。
4130,5819,形容詞,開足了動力、用盡力氣到最大極限。
4177,5877,形容詞,野蠻、蠻橫無理。個性固執而不通情理的人。
4187,5896,形容詞,與「西」連用，形容多、雜、廣。
4189,5901,形容詞,呆滯不活潑或固執不變。
4210,5932,形容詞,清楚、明確。
4234,5962,形容詞,通達事理，懂道理。
4248,5976,形容詞,明白顯露。
4254,5988,形容詞,形容油脂多、油光發亮的樣子。
4262,6009,形容詞,稀的。
4276,6028,形容詞,瑣碎、繁雜。
4277,6029,形容詞,油膩膩。形容含油量過多的樣子。
4282,6035,形容詞,形容人油水很多，即外快很多的意思。
4298,6052,形容詞,一路上。
4299,6053,形容詞,瑣碎、雜亂。
4313,6070,形容詞,東西吃起來有疏鬆的口感。
4318,6078,形容詞,形容火勢或陽光猛烈。
4372,6145,形容詞,眼睛看不見。
4373,6147,形容詞,不彎曲的。
4373,6148,形容詞,行為或性格坦白爽快。
4379,6165,形容詞,沒有東西。
4379,6166,形容詞,虛無的、不切實際。
4381,6170,形容詞,因相互瞭解而產生深厚友誼的。
4389,6179,形容詞,很直，沒有轉彎。
4395,6188,形容詞,信口開河，說話沒有憑證。
4395,6189,形容詞,光說不練、空口說白話。指一個人好發議論卻沒有實際的行動表現。
4396,6190,形容詞,空心不實的。
4402,6198,形容詞,空著肚子，沒有進食。
4404,6200,形容詞,直腸子。形容人有話直說，沒有遮掩，性情直爽。
4409,6205,形容詞,確定的。
4411,6210,形容詞,比喻有名無實或不具任何作用效力的。
4420,6225,形容詞,脂肪較多。一般用來形容動物體形龐大。
4420,6226,形容詞,腴美、厚實。
4420,6227,形容詞,多脂肪的。
4425,6236,形容詞,像花一樣美麗、精美。
4425,6237,形容詞,虛華不實。
4426,6241,形容詞,色彩繁複的樣子。
4426,6242,形容詞,風流。
4426,6243,形容詞,模糊不清。
4426,6246,形容詞,稀的。
4427,6248,形容詞,香氣令人愉悅的。
4432,6254,形容詞,嬰兒肥。形容嬰兒長得白白嫩嫩。
4447,6273,形容詞,還可以，還過得去。
4462,6291,形容詞,肥胖、豐潤。
4472,6302,形容詞,形容圖案樣式或顏色雜亂無章的樣子。
4472,6303,形容詞,形容人吃東西的時候，臉上沾滿食物殘渣。
4483,6316,形容詞,收縮、蜷曲的樣子。
4483,6317,形容詞,比喻形容人過度節儉、吝嗇。
4488,6328,形容詞,指時間、地點、血統、關係等方面距離不遠的。
4490,6334,形容詞,形容物體的顏色澄黃或是閃閃發亮。
4490,6335,形容詞,金黃色的。
4490,6336,形容詞,形容眼睛明亮，或是視力好。
4490,6338,形容詞,珍貴的。
4491,6340,形容詞,多出來的，比所需要的還多。
4493,6342,形容詞,形容時間的久遠。
4493,6343,形容詞,形容物體或空間兩端的距離較大、較遠。
4500,6358,形容詞,年輕的。
4510,6371,形容詞,頭髮或皮毛捲曲。
4525,6389,形容詞,形容一個人到別人家做客，聊天過久，忘了要回家。
4537,6404,形容詞,呆瓜、傻瓜。罵人不靈光、不精明、反應慢。源自西拉雅語。
4543,6412,形容詞,形容人或事物粗俗、不入流。
4547,6416,形容詞,不三不四。沒什麼價值、沒什麼水準。
4560,6431,形容詞,失明、瞎眼。指眼睛失去視覺能力。
4564,6435,形容詞,蜷曲。通常用來形容毛髮。
4565,6436,形容詞,睜大眼睛。
4568,6441,形容詞,指因為受到驚嚇，而使得臉色發青、蒼白。
4615,6493,形容詞,有長有短、長短不一。
4624,6504,形容詞,長壽、長命、高壽。
4625,6505,形容詞,光亮滑潤。
4630,6510,形容詞,長命、高壽。壽命很長。
4635,6515,形容詞,鮮綠、翠綠的顏色。
4637,6517,形容詞,節儉、節約、儉省。
4662,6542,形容詞,形容物體很長、很高的樣子。
4664,6544,形容詞,與現行法令相違背的。
4668,6550,形容詞,簡單的、便利的、現成的。
4668,6551,形容詞,妥善。
4668,6552,形容詞,非制式的、臨時的。
4674,6563,形容詞,價格低廉。
4689,6583,形容詞,顏色鮮豔亮麗、花俏。
4690,6584,形容詞,便宜。
4698,6600,形容詞,時間或次序較早的。
4699,6602,形容詞,時間或次序較早的。
4700,6603,形容詞,健康、強壯。
4700,6604,形容詞,物品堅固耐用。
4700,6605,形容詞,不懼怕。
4717,6626,形容詞,維持舊有的傳統習慣風俗或制度而不改變。
4723,6633,形容詞,呱呱叫。形容人做事乾淨俐落。
4737,6649,形容詞,健朗。形容身體健康硬朗。
4769,6684,形容詞,指物體表面與底部之間的距離比較大的。與「薄」(po̍h)相對。
4769,6685,形容詞,形容質量或程度多而且大。
4769,6686,形容詞,指數量多的。
4769,6687,形容詞,厚度。
4783,6720,形容詞,指果實的種子很多。
4784,6721,形容詞,費工、費工夫。形容所耗費的精神心力甚多。
4785,6722,形容詞,小心眼。指人心機重。
4790,6727,形容詞,形容一個人既囉嗦又挑剔，很難伺候。
4791,6728,形容詞,易怒。脾氣不好，容易生氣。
4794,6731,形容詞,雙肩往下傾斜。
4796,6733,形容詞,本指經常要上廁所解大便，比喻一個人毛病多，很麻煩。
4797,6734,形容詞,指一個人多屎多尿，小動作頻繁，做起事來又不乾脆。
4798,6735,形容詞,形容哀傷怨恨。
4799,6736,形容詞,指物品的質地比較沉、比較重。
4800,6737,形容詞,厚臉皮。形容人無羞恥之心。
4805,6742,形容詞,指吃了尚未成熟的水果，例如香蕉或是柿子，嘴裡有一種澀澀的感覺。
4810,6747,形容詞,多話、多嘴。
4811,6748,形容詞,廢話太多。
4815,6753,形容詞,多禮。禮數周到。
4817,6755,形容詞,迷信、忌諱。
4821,6763,形容詞,因結拜而約定成為親屬關係的。
4822,6765,形容詞,龐大的樣子。
4838,6782,形容詞,聲勢浩大、神氣十足。
4856,6810,形容詞,密合。
4856,6811,形容詞,契合、投緣。
4859,6820,形容詞,寬容的程度。
4872,6835,形容詞,表現謙虛禮讓的態度。
4875,6839,形容詞,擺架子的樣子。
4884,6851,形容詞,清靜雅致。
4898,6870,形容詞,指時間次序上比較晚的。
4898,6871,形容詞,在背面的。
4898,6872,形容詞,排序在次的。
4900,6876,形容詞,迫切的、匆促的。
4903,6881,形容詞,沉靜、無聲。
4904,6882,形容詞,形容物體形狀寬且薄。
4930,6917,形容詞,後面的。
4939,6926,形容詞,性情急躁。
4939,6927,形容詞,變化急劇的。
4970,6967,形容詞,安靜無聲。
4970,6968,形容詞,文靜。
4992,7000,形容詞,以前的、舊的。
5020,7053,形容詞,形容建築物的空間寬敞，光線明亮。
5020,7054,形容詞,人的身材高挑。
5028,7063,形容詞,形容一個人得意的神情。
5074,7113,形容詞,形容在品嚐蔬菜或瓜果時，有纖維粗糙的感覺。
5104,7149,形容詞,娘娘腔。形容男性說話動作像女性，有貶意。
5111,7157,形容詞,嘴饞。以餓鬼、貪吃鬼來形容人貪嘴好吃。
5118,7164,形容詞,貪吃、嘴饞。
5119,7165,形容詞,歪斜。
5119,7166,形容詞,不正的。
5121,7172,形容詞,有害的、危害他人的。
5125,7178,形容詞,西方的、外國的。
5128,7184,形容詞,液體濃、稠。
5152,7216,形容詞,形容路人行人非常多，既不方便穿越，也不容易前進。
5153,7217,形容詞,傾斜。有所偏差、不正。
5154,7218,形容詞,嘴巴歪歪的，有毛病。
5159,7223,形容詞,歪七扭八。歪斜不正的樣子。
5166,7232,形容詞,靈活的、不死板。
5166,7233,形容詞,栩栩如生、生動的。
5166,7236,形容詞,能解開的。
5166,7237,形容詞,流動的。
5169,7245,形容詞,水的流動。
5187,7273,形容詞,狡獪、奸詐。詭變多詐。
5187,7274,形容詞,頑皮、調皮、愛作怪。不聽教誨，不馴服，喜歡與人作對。
5193,7280,形容詞,活潑好動的。
5193,7281,形容詞,可以任意活動的。
5198,7290,形容詞,指男女未婚。
5201,7293,形容詞,活蹦亂跳、活力充沛的樣子。
5205,7297,形容詞,生動而不呆板。
5207,7299,形容詞,形容人老了以後，兩邊臉頰鬆弛下垂如麻糬狀。
5212,7304,形容詞,對於不容易解決的事情，感到苦惱。
5227,7330,形容詞,樣態、性情。
5229,7332,形容詞,相同。
5229,7333,形容詞,相像。
5275,7389,形容詞,打冷顫。
5282,7396,形容詞,雙方差不多。
5304,7419,形容詞,便宜、經濟。
5319,7448,形容詞,節省人工、人力，也可用在省事。
5336,7469,形容詞,涼爽。清涼舒爽。
5365,7508,形容詞,紅色的。
5365,7509,形容詞,形容人正在走運或特定事物正在流行。
5366,7511,形容詞,紅色的。
5368,7515,形容詞,漂亮、好看。
5368,7516,形容詞,好、善。
5371,7521,形容詞,持久。
5385,7543,形容詞,紅潤。豐滿而帶有紅色的光澤。本詞目常重疊使用。
5390,7551,形容詞,可以用得很久，不容易損壞。
5410,7571,形容詞,紅彤彤。形容顏色極紅。
5417,7581,形容詞,紅彤彤。形容顏色極紅。
5445,7611,形容詞,形容女子容貌漂亮、俏麗。
5448,7614,形容詞,指物品好看、漂亮。
5449,7616,形容詞,高傲。
5452,7620,形容詞,五味之一。
5452,7621,形容詞,痛苦、悲苦。
5452,7623,形容詞,艱辛、勞苦。
5454,7627,形容詞,草木繁盛的樣子。
5466,7640,形容詞,形容食物苦中帶甜的味道。
5470,7645,形容詞,有點苦澀味。
5487,7664,形容詞,高傲、驕傲。
5496,7678,形容詞,緊迫。
5496,7679,形容詞,指空間上的壓迫。
5498,7683,形容詞,重量。
5498,7684,形容詞,重視、看重。
5498,7685,形容詞,出手很用力或者醫生下藥很重。
5498,7686,形容詞,指負擔、責任或費用很大。
5499,7688,形容詞,雙倍、雙次。
5501,7691,形容詞,重要。
5507,7702,形容詞,重要。
5509,7705,形容詞,指一個人手勁大又重。
5515,7711,形容詞,口吃。形容不能夠一口氣把話說完，容易有字音重複或詞句中斷的現象。
5524,7721,形容詞,具有重大的意義、作用和影響。
5525,7722,形容詞,層層累積相疊。
5528,7725,形容詞,雙倍。照原數增加一倍。
5549,7751,形容詞,重要。重大而緊要。
5556,7760,形容詞,一邊重，一邊輕，指兩頭的重量不平均。
5569,7780,形容詞,不穩定、無法控制的。
5572,7791,形容詞,身體纖細、瘦弱。
5574,7796,形容詞,比喻精神或情況嚴重、糟糕。
5585,7812,形容詞,形容營業地點人多熱鬧、貨物吸引顧客，生意很興旺的。
5585,7813,形容詞,暢銷的、搶手的。
5598,7830,形容詞,靠命運好而坐享清福。
5609,7844,形容詞,指有才學而不拘泥禮教的。
5609,7845,形容詞,有功績又有文采的。
5609,7846,形容詞,指跟男女間放蕩行為有關的。
5663,7907,形容詞,愁眉苦臉。形容憂傷、愁苦的神色。
5666,7910,形容詞,面善、眼熟。形容乍看之下頗有熟悉的感覺。
5671,7915,形容詞,吃醋。醋味酸，人嫉妒時，心裡會覺得酸溜溜的，因此以吃醋比喻嫉妒。多用在愛情方面，也可泛指一般的嫉妒。
5688,7938,形容詞,風流。形容輕佻的樣子。
5706,7966,形容詞,（醃制食物）入味。
5712,7978,形容詞,土裡土氣、傻裡傻氣、俗氣。
5713,7982,形容詞,有意義。
5718,7988,形容詞,冷的、涼掉的、冷漠的。
5719,7992,形容詞,冰冷的。
5739,8018,形容詞,因為吃到刺激性的食物而使舌頭變得麻麻的，暫時沒有知覺。
5742,8022,形容詞,徒勞無功。形容無實質效益、白白浪費。
5755,8038,形容詞,任何。
5755,8039,形容詞,隨和、不謹慎。
5758,8043,形容詞,吃到冰冷的東西，牙齒因而感到刺激，有時會酸痛。
5769,8057,形容詞,反方向的。
5776,8065,形容詞,有價值。
5781,8071,形容詞,形容一個人吝嗇、小氣，過分節省。
5852,8158,形容詞,形容人不學好，為非作歹。
5852,8159,形容詞,指人任意蹧蹋物資，不加節制。
5878,8204,形容詞,糟糕。
5890,8232,形容詞,錯誤、失誤。
5890,8233,形容詞,劣質、不好。
5890,8235,形容詞,（疾病服藥後有無）起色。
5897,8245,形容詞,完蛋了。事情毀滅、沒有希望了。
5902,8251,形容詞,指人懂得節制，謹守規矩。
5923,8278,形容詞,多管閒事。
5948,8307,形容詞,體力或能力差。與強相對。
5958,8324,形容詞,雜亂。
5958,8326,形容詞,形容人無理取鬧的樣子。
5963,8335,形容詞,可怕。形容因受到威脅或驚嚇而產生的恐懼。
5975,8349,形容詞,彼此真切的相愛。通常指的是夫妻之間的情愛。
5977,8351,形容詞,形容非常雜亂，毫無條理。
6005,8406,形容詞,外出的。
6017,8420,形容詞,流行、時髦。
6018,8421,形容詞,製作家具的。
6062,8473,形容詞,搬來搬去、換來換去，不安定的樣子。
6066,8479,形容詞,多出來的、超出範圍的。
6075,8489,形容詞,晚、遲。
6080,8496,形容詞,形容人的肢體動作呆滯、不靈活。口語運用大多以重疊的形式出現。
6121,8561,形容詞,生硬的、遲鈍的。
6121,8562,形容詞,呆滯的。
6124,8566,形容詞,比喻女人很兇。
6142,8592,形容詞,呆板。形容一個人木訥、不解風情。
6162,8628,形容詞,空乏、浮而不實、草率。
6177,8645,形容詞,氣沖沖。
6188,8658,形容詞,形容諸般事務並沒有特別值得期待的地方，一切只是普普通通而已。
6217,8689,形容詞,遊手好閒。指放蕩不羈，四處閒遊不務正業。
6225,8700,形容詞,熱烈、強勁。
6225,8701,形容詞,形容人的個性剛直、有正義感。
6227,8706,形容詞,引申作不乾淨的、不光明磊落的。
6227,8707,形容詞,形容天色昏暗或光線不足。
6228,8711,形容詞,輕微發燒。多重疊使用。
6230,8713,形容詞,細小，不寬鬆。
6231,8714,形容詞,暗紅色。紅中透黑的顏色。
6232,8715,形容詞,烏溜溜。形容頭髮烏黑亮麗有彈性。
6241,8728,形容詞,壞心、壞心肝、壞心腸。心腸惡毒或居心不良。
6242,8729,形容詞,天昏地暗、昏天暗地。天色昏暗無光。
6246,8734,形容詞,黑白，沒有任何色彩。
6255,8743,形容詞,與眾不同。
6265,8756,形容詞,烏黑柔亮。
6266,8758,形容詞,瘀血。皮膚因受傷而呈現紫青色。
6274,8767,形容詞,特別。不同於一般，不平常的事物。
6291,8784,形容詞,人長得皮膚黑又枯瘦的樣子。
6297,8790,形容詞,黑暗、不明亮。
6297,8791,形容詞,比喻風氣腐爛、敗壞，沒有公理正義。
6298,8792,形容詞,眩暈。眼前發黑，覺得自己或周圍的東西在旋轉而感到頭暈。多因內耳、小腦、延髓等機能障礙所引起。
6299,8793,形容詞,逃避現實，意志消沉。
6305,8801,形容詞,蔬菜類放太久而造成的脫水變色不新鮮。
6305,8802,形容詞,魚、肉類腐敗前的發黑現象。
6305,8803,形容詞,半死不活。
6306,8804,形容詞,心腸極壞。
6307,8805,形容詞,烏黑。形容很黑。
6307,8806,形容詞,汙穢的、不乾淨的。
6340,8851,形容詞,疼痛。身體或心靈受到傷害而產生的難過感覺。
6341,8853,形容詞,形容背微駝的樣子。
6342,8856,形容詞,形容人又笨又傻，不聰明。
6353,8870,形容詞,凶狠殘暴。
6355,8872,形容詞,落魄。形容人窮困潦倒不得志。
6361,8878,形容詞,困倦勞累。
6374,8892,形容詞,純正、不虛假的。
6374,8893,形容詞,的確、實在。
6375,8896,形容詞,形容半夢半醒的狀態。口語運用大多以重疊的形式出現。
6376,8898,形容詞,眼睛昏花，看東西晃動不定。
6377,8900,形容詞,皮膚受到尖細小物的刺激而產生的刺痛感。
6379,8905,形容詞,破舊、殘缺不全。
6397,8933,形容詞,八敗命、掃把星。形容人在命理上有缺陷，常帶來霉運將事情搞砸，或是常說負面的言語。和華語中的「破格」意思不同。
6416,8956,形容詞,真切實在而不虛假。
6418,8958,形容詞,害怕。比喻非常害怕，連膽子都嚇破了。
6419,8959,形容詞,破雞帚。用來形容一個人的聲音刺耳難聽。
6422,8966,形容詞,難以解釋的。
6428,8980,形容詞,仰面向上。
6448,9003,形容詞,心神恍惚。
6457,9013,形容詞,指精神方面不正常。
6462,9021,形容詞,詼諧、風趣。形容人或言談風趣幽默，笑料百出。
6475,9034,形容詞,不含雜質的。
6475,9035,形容詞,溫和。
6475,9036,形容詞,質樸無偽的。
6479,9042,形容詞,樸實無華，沒有複雜的裝飾。
6479,9044,形容詞,本質、原本的，不加裝飾。
6483,9053,形容詞,過錯、不完美的地方。
6529,9107,形容詞,質地不堅固、容易折斷。
6531,9111,形容詞,形容味道難聞。
6534,9114,形容詞,幼、嫩、未成熟的。
6534,9115,形容詞,年輕的。
6534,9116,形容詞,稚嫩。經驗少的、資歷淺的。
6535,9117,形容詞,形容人神智不清的狀態。
6536,9118,形容詞,廣大而模糊不明，通常以連字詞的形式出現。
6539,9123,形容詞,馬虎、粗率、不細膩。
6539,9124,形容詞,初步、尚未決定的。
6549,9136,形容詞,燒焦。
6553,9140,形容詞,咬舌兒。說話時舌尖接觸牙齒，造成發音不清楚，形成童稚的聲音。
6557,9144,形容詞,老相、老態。形容一個人的外表看起來比實際年齡老。
6559,9146,形容詞,汗臭。因為流汗而產生的汗酸味。
6561,9148,形容詞,耳聾。指人因聽覺障礙而失去聽力。
6562,9150,形容詞,形容人喜歡誇大炫耀，自以為是的樣子。
6564,9152,形容詞,有尿臭味的。
6587,9177,形容詞,霉味。東西有發霉的味道。
6588,9178,形容詞,燒焦。
6588,9179,形容詞,破產。
6596,9187,形容詞,神氣、臭屁。常用於對他人的貶詞。
6597,9188,形容詞,植物特有的生腥味。
6606,9197,形容詞,餿臭。食物因為變質、腐敗而發出酸臭味。
6612,9203,形容詞,下賤。因為粗俗而卑賤不堪。
6612,9204,形容詞,形容花草植物因滋衍繁多而失去其珍貴的價值。
6616,9209,形容詞,狗血淋頭。形容被責備得很不堪。
6619,9212,形容詞,腥臭。形容魚或肉類有葷腥的氣味。
6621,9214,形容詞,形容刺鼻的尿臭味。
6623,9216,形容詞,腥味。
6629,9222,形容詞,形容人的身體虛弱，沒有元氣。
6629,9223,形容詞,形容某事物的質地不夠紮實、堅固。
6630,9224,形容詞,荒蕪。
6631,9225,形容詞,指倒楣，運氣差。
6631,9226,形容詞,低賤、落魄、晦氣。
6633,9228,形容詞,倒楣。運氣不好，不順利。
6635,9230,形容詞,東西用不壞或人不兇。
6636,9232,形容詞,不能用。語氣完結時唸作bē īng--tit。
6637,9233,形容詞,合不來。
6639,9235,形容詞,倒楣。
6641,9237,形容詞,身體虛弱。
6642,9238,形容詞,不要臉、不懂得羞恥。
