詞目id,詞目類型,漢字,羅馬字,分類
2868,主詞目,你,lí,代名詞
2869,主詞目,克,khik,一般動詞-行為動詞
2870,主詞目,兌,tuē,財務單位、活動
2871,主詞目,兌,tuī,"財務單位、活動,一般動詞-行為動詞"
2872,主詞目,免,bián,一般動詞-靜態動詞
2873,主詞目,兵,ping,"軍公教業,軍事"
2874,主詞目,冷,líng,"氣候溫度,氣質態度,心理狀態"
2875,主詞目,佗一个,tó tsi̍t ê,代名詞
2876,主詞目,何乜苦,hô-mí-khóo,副詞
2877,主詞目,伯公,peh-kong,"宗族、家庭,稱謂輩分"
2878,主詞目,伸勻,tshun-ûn,"肢體動作,生活狀況"
2879,主詞目,伸勼,tshun-kiu,待人處事
2880,主詞目,伴手,phuānn-tshiú,"婚喪喜慶,交際應酬,待人處事"
2881,主詞目,伸手,tshun-tshiú,"肢體動作,生活狀況"
2882,主詞目,佃戶,tiān-hōo,農林業
2883,主詞目,住戶,tsū-hōo,"宗族、家庭,居住環境"
2884,主詞目,作文,tsok-bûn,文學、藝術
2885,主詞目,佛手瓜,hu̍t-tshiú-kue,"蔬果作物,食物、飲料、煙酒"
2886,主詞目,串仔,tshǹg-á,"魚蝦海獸,食物、飲料、煙酒"
2887,主詞目,佛仔,pu̍t-á,神明、鬼怪、教派
2888,主詞目,兵仔,ping-á,"軍公教業,軍事"
2889,主詞目,何必,hô-pit,副詞
2890,主詞目,作用,tsok-iōng,心理活動
2891,主詞目,作田,tsoh-tshân,農林業
2892,主詞目,作田人,tsoh-tshân-lâng,農林業
2893,主詞目,佛寺,hu̍t-sī,"建築物、結構,相關器具、活動"
2894,主詞目,佗位,tó-uī,代名詞
2895,主詞目,冷吱吱,líng-ki-ki,"氣候溫度,反應、表情,性質、程度"
2896,主詞目,住址,tsū-tsí,"居住環境,房屋租賃、搬遷"
2897,主詞目,作弄,tsok-lōng,"個性風格,待人處事"
2898,主詞目,作怪,tsok-kuài,"個性風格,相關器具、活動"
2899,主詞目,住所,tsū-sóo,"建築物、結構,居住環境"
2900,主詞目,克服,khik-ho̍k,一般動詞-行為動詞
2901,主詞目,何況,hô-hóng,連詞、介詞
2902,主詞目,作法,tsok-huat,相關器具、活動
2903,主詞目,作物,tsok-bu̍t,蔬果作物
2904,主詞目,古物商,kóo-bu̍t-siong,商業
2905,主詞目,作者,tsok-tsiá,"文學、藝術,戲劇、音樂"
2906,主詞目,佛門,hu̍t-mn̂g,相關器具、活動
2907,主詞目,伸長手,tshun-tn̂g-tshiú,生活狀況
2908,主詞目,伶俐,líng-lī,"才智能力,境況、狀態-擬人"
2909,主詞目,佇咧,tī-leh,連詞、介詞
2910,主詞目,作品,tsok-phín,"文學、藝術,戲劇、音樂"
2911,主詞目,伴奏,phuānn-tsàu,戲劇、音樂
2912,主詞目,但是,tān-sī,連詞、介詞
2913,主詞目,作為,tsok-uî,相關用語
2914,主詞目,何苦,hô-khóo,副詞
2915,主詞目,作家,tsok-ka,服務業及其他
2916,主詞目,冷氣,líng-khì,"氣候溫度,生活用品"
2917,主詞目,佛祖,Pu̍t-tsóo,神明、鬼怪、教派
2918,主詞目,伴娶,phuānn-tshuā,"兩性、婚姻,婚喪喜慶"
2919,主詞目,佛堂,hu̍t-tn̂g,相關器具、活動
2920,主詞目,佛教,Hu̍t-kàu,神明、鬼怪、教派
2921,主詞目,串通,tshuàn-thong,待人處事
2922,主詞目,伯勞仔,pit-lô-á,禽類
2923,主詞目,兌換,tuī-uānn,一般動詞-行為動詞
2924,主詞目,免稅,bián-suè/bián-sè,財務單位、活動
2925,主詞目,免費,bián-huì,財務單位、活動
2926,主詞目,作亂,tsok-luān,一般動詞-行為動詞
2927,主詞目,伴嫁,phuānn-kè,"兩性、婚姻,婚喪喜慶"
2928,主詞目,作業,tsok-gia̍p,"相關用語,教育、學術"
2929,主詞目,位置,uī-tì,"空間方位,地位、身世、背景"
2930,主詞目,伸跤,tshun-kha,一般動詞-行為動詞
2931,主詞目,佛像,hu̍t-siōng,神明、鬼怪、教派
2932,主詞目,作弊,tsok-pè,教育、學術
2933,主詞目,估價,kóo-kè,財務單位、活動
2934,主詞目,免數想,bián siàu-siūnn,心理活動
2935,主詞目,作戰,tsok-tsiàn,軍事
2936,主詞目,冷靜,líng-tsīng,"個性風格,氣質態度"
2937,主詞目,免錢飯,bián-tsînn-pn̄g,法律
2938,主詞目,克虧,khik-khui,心理狀態
2939,主詞目,串講,tshuàn-kóng,語言、文字、符號
2940,主詞目,作穡,tsoh-sit,"相關用語,生活勞動"
2941,主詞目,作穡人,tsoh-sit-lâng,農林業
2942,主詞目,作孽,tsok-gia̍t,"個性風格,道德評價"
2943,主詞目,佛龕,pu̍t-kham,相關器具、活動
2944,主詞目,免驚,bián-kiann,心理狀態
2945,主詞目,刜,phut,一般動詞-行為動詞
2946,主詞目,刣,thâi,
2947,主詞目,判,phuànn,心理活動
2948,主詞目,別,pa̍t,性質、程度
2949,主詞目,別,pia̍t,"性質、程度,一般動詞-靜態動詞"
2950,主詞目,利,lāi,"錢財資產,境況、狀態-擬物"
2951,主詞目,助,tsōo,待人處事
2952,主詞目,劫,kiap,"災禍,一般動詞-行為動詞"
2953,主詞目,卵,nn̄g,"動物形體、行為,食物、飲料、煙酒"
2954,主詞目,君,kun,"國家、社會、民眾,地位、身世、背景,稱謂輩分,休閒、娛樂"
2955,主詞目,吞,thun,"感官動作,反應、表情,飲食行為,待人處事"
2956,主詞目,吟,gîm,一般動詞-行為動詞
2957,主詞目,吠,puī,動物形體、行為
2958,主詞目,含,kâm,反應、表情
2959,主詞目,含,kânn,
2960,主詞目,吭,khngh,擬聲、擬態
2961,主詞目,吭,khōng,擬聲、擬態
2962,主詞目,吮,tshńg,感官動作
2963,主詞目,吱,ki,"擬聲、擬態,一般動詞-行為動詞"
2964,主詞目,吵,tshá,"境況、狀態-擬人,境況、狀態-擬物"
2965,主詞目,吶,nā,"動物形體、行為,反應、表情"
2966,主詞目,吸,khip,"感官動作,反應、表情,境況、狀態-擬物"
2967,主詞目,吹,tshue/tshe,"自然現象,感官動作,反應、表情"
2968,主詞目,吼,háu,"自然現象,反應、表情"
2969,主詞目,別人,pa̍t-lâng,泛稱
2970,主詞目,努力,lóo-li̍k,氣質態度
2971,主詞目,別个,pa̍t-ê,代名詞
2972,主詞目,君子,kun-tsú,"個性風格,道德評價"
2973,主詞目,卵仁,nn̄g-jîn/nn̄g-lîn,"動物形體、行為,食物、飲料、煙酒"
2974,主詞目,別日,pa̍t-ji̍t/pa̍t-li̍t,時間節令
2975,主詞目,別日仔,pa̍t-ji̍t-á/pa̍t-li̍t-á,時間節令
2976,主詞目,君王,kun-ông,"國家、社會、民眾,地位、身世、背景"
2977,主詞目,卵包,nn̄g-pau,食物、飲料、煙酒
2978,主詞目,利用,lī-iōng,一般動詞-行為動詞
2979,主詞目,吸石,khip-tsio̍h,生活用品
2980,主詞目,刣死,thâi--sí,"生養老死,災禍"
2981,主詞目,別位,pa̍t-uī,空間方位
2982,主詞目,吞忍,thun-lún,心理活動
2983,主詞目,吵抐,tshá-lā,待人處事
2984,主詞目,判決,phuànn-kuat,法律
2985,主詞目,吩咐,huan-hù,"語言、文字、符號,一般動詞-行為動詞"
2986,主詞目,判官,phuànn-kuann,"服務業及其他,神明、鬼怪、教派,法律"
2987,主詞目,吹狗螺,tshue-káu-lê/tshe-káu-lê,動物形體、行為
2988,主詞目,利便,lī-piān,境況、狀態-擬事
2989,主詞目,吹風,tshue-hong/tshe-hong,"自然現象,理容、化妝"
2990,主詞目,吹風機,tshue-hong-ki/tshe-hong-ki,"生活用品,理容、化妝"
2991,主詞目,含冤,hâm-uan,"心理狀態,法律"
2992,主詞目,吵家抐宅,tshá-ke-lā-the̍h,宗族、家庭
2993,主詞目,吵家抐計,tshá-ke-lā-kè,
2994,主詞目,利息,lī-sik,錢財資產
2995,主詞目,即時,tsik-sî,時間節令
2996,主詞目,利益,lī-ik,境況、狀態-擬事
2997,主詞目,利純,lī-sûn,財務單位、活動
2998,主詞目,助教,tsōo-kàu,"軍公教業,教育、學術"
2999,主詞目,含梢,hâm-sau,性質、程度
3000,主詞目,卵清,nn̄g-tshing,"動物形體、行為,食物、飲料、煙酒"
3001,主詞目,助產士,tsōo-sán-sū,"服務業及其他,醫療保健"
3002,主詞目,別莊,pia̍t-tsong,建築物、結構
3003,主詞目,別款,pa̍t-khuán,代名詞
3004,主詞目,別項,pa̍t-hāng,代名詞
3005,主詞目,別搭,pa̍t-tah,代名詞
3006,主詞目,判罪,phuànn-tsuē,法律
3007,主詞目,吭跤翹,khōng-kha-khiàu,反應、表情
3008,主詞目,劫數,kiap-sòo,災禍
3009,主詞目,吵鬧,tshá-nāu,一般動詞-行為動詞
3010,主詞目,刣頭,thâi-thâu,"相關用語,災禍"
3011,主詞目,判斷,phuànn-tuàn,心理活動
3012,主詞目,刣雞教猴,thâi-ke-kà-kâu/thâi-kue-kà-kâu,
3013,主詞目,呃,eh,飲食行為
3014,主詞目,呆,tai,
3015,主詞目,告,kò,一般動詞-行為動詞
3016,主詞目,囤,tún,一般動詞-行為動詞
3017,主詞目,囥,khǹg,"一般動詞-行為動詞,一般動詞-靜態動詞"
3018,主詞目,囫,hut,飲食行為
3019,主詞目,囮,buê,事、物泛稱
3020,主詞目,坉,thūn,
3021,主詞目,坎,khám,數詞、量詞
3022,主詞目,坐,tsē,"肢體動作,交通、運輸,居住環境,一般動詞-靜態動詞"
3023,主詞目,坐,tshē,"一般動詞-行為動詞,一般動詞-靜態動詞"
3024,主詞目,坑,khenn/khinn,地理
3025,主詞目,夾,ngeh,"生活用品,一般動詞-行為動詞"
3026,主詞目,坎仔,khám-á,建築物、結構
3027,主詞目,夾仔,ngeh-á,生活用品
3028,主詞目,坉平,thūn-pênn/thūn-pînn,一般動詞-行為動詞
3029,主詞目,告示,kò-sī,語言、文字、符號
3030,主詞目,坐向,tsē-hiòng,相關器具、活動
3031,主詞目,坐位,tsē-uī,"生活用品,政治"
3032,主詞目,坎坎坷坷,khám-khám-khia̍t-khia̍t,"生活狀況,道路、橋梁"
3033,主詞目,囥步,khǹg-pōo,"相關用語,待人處事"
3034,主詞目,呂洞賓,Lī Tōng-pin/Lū Tōng-pin,神明、鬼怪、教派
3035,主詞目,困苦,khùn-khóo,生活狀況
3036,主詞目,坑崁,khenn-khàm/khinn-khàm,"地理,自然現象"
3037,主詞目,坐桌,tsē-toh,"婚喪喜慶,交際應酬"
3038,主詞目,坎站,khám-tsām,境況、狀態-擬事
3039,主詞目,坐清,tsē-tshing,一般動詞-靜態動詞
3040,主詞目,告訴,kò-sòo,法律
3041,主詞目,坉塗,thūn-thôo,一般動詞-行為動詞
3042,主詞目,囥歲,khǹg-huè/khǹg-hè,體態樣貌
3043,主詞目,坑溝,khenn-kau/khinn-kau,地理
3044,主詞目,坐監,tsē-kann,法律
3045,主詞目,坐數,tshē-siàu,財務單位、活動
3046,主詞目,坐禪,tsē-siân,相關器具、活動
3047,主詞目,困難,khùn-lân,"生活狀況,性質、程度"
3048,主詞目,妖,iau,神明、鬼怪、教派
3049,主詞目,妗,kīm,"宗族、家庭,稱謂輩分"
3050,主詞目,妙,miāu,性質、程度
3051,主詞目,妝,tsng,理容、化妝
3052,主詞目,孝,hàu,"道德評價,飲食行為,相關器具、活動"
3053,主詞目,宋,Sòng,"國家、社會、民眾,宗族、家庭,才智能力"
3054,主詞目,完,uân,"一般動詞-靜態動詞,副詞"
3055,主詞目,尪,ang,休閒、娛樂
3056,主詞目,尾,bué/bé,"動物形體、行為,數詞、量詞"
3057,主詞目,尿,jiō/liō,反應、表情
3058,主詞目,局,kio̍k,"建築物、結構,數詞、量詞"
3059,主詞目,屁,phuì,反應、表情
3060,主詞目,巡,sûn,"生理構造,一般動詞-行為動詞,事、物泛稱,數詞、量詞"
3061,主詞目,尾二指,bué-jī-tsáinn/bé-lī-tsáinn,生理構造
3062,主詞目,妓女,ki-lí/ki-lú,服務業及其他
3063,主詞目,孝女,hàu-lí/hàu-lú,"泛稱,相關用語,婚喪喜慶"
3064,主詞目,孝子,hàu-tsú,泛稱
3065,主詞目,完工,uân-kang,相關用語
3066,主詞目,孝心,hàu-sim,心理狀態
3067,主詞目,尾手,bué-tshiú/bé-tshiú,副詞
3068,主詞目,尿斗,jiō-táu/liō-táu,生活用品
3069,主詞目,尾牙,bué-gê/bé-gê,"生活狀況,相關器具、活動"
3070,主詞目,妗仔,kīm-á,"宗族、家庭,稱謂輩分"
3071,主詞目,尪仔,ang-á,休閒、娛樂
3072,主詞目,尾仔,bué-á/bé-á,"動物形體、行為,性質、程度,事、物泛稱"
3073,主詞目,尪仔冊,ang-á-tsheh,休閒、娛樂
3074,主詞目,尾仔囝,bué-á-kiánn/bé-á-kiánn,稱謂輩分
3075,主詞目,尪仔物,ang-á-mi̍h/ang-á-mn̍gh,休閒、娛樂
3076,主詞目,尪仔面,ang-á-bīn,"體態樣貌,休閒、娛樂,性質、程度"
3077,主詞目,尪仔標,ang-á-phiau,休閒、娛樂
3078,主詞目,尪仔頭,ang-á-thâu,"生理構造,休閒、娛樂"
3079,主詞目,完全,uân-tsuân,"境況、狀態-擬物,副詞"
3080,主詞目,完成,uân-sîng,一般動詞-靜態動詞
3081,主詞目,宋米仔,sòng-bí-á,食物、飲料、煙酒
3082,主詞目,宋江陣,Sòng-kang-tīn,相關器具、活動
3083,主詞目,孝呆,hàu-tai,才智能力
3084,主詞目,孝杖,hà-thn̄g,婚喪喜慶
3085,主詞目,孝男,hàu-lâm,"相關用語,婚喪喜慶"
3086,主詞目,孝孤,hàu-koo,"飲食行為,相關器具、活動"
3087,主詞目,尿帕仔,jiō-phè-á/liō-phè-á,"生理構造,生活用品"
3088,主詞目,妖怪,iau-kuài,神明、鬼怪、教派
3089,主詞目,尪姨,ang-î,神職、神巫、信徒
3090,主詞目,尾後,bué-āu/bé-āu,事、物泛稱
3091,主詞目,尾指,bué-tsáinn/bé-tsáinn,生理構造
3092,主詞目,巡查,sûn-tsa,軍公教業
3093,主詞目,尪架桌,ang-kè-toh,相關器具、活動
3094,主詞目,宋盼的,sòng-phàn--ê,才智能力
3095,主詞目,尿苴仔,jiō-tsū-á/liō-tsū-á,生活用品
3096,主詞目,尿苴仔𩛩,jiō-tsū-á-kauh/liō-tsū-á-kauh,傷疾病痛
3097,主詞目,孝衫,hà-sann,"衣帽鞋襪,婚喪喜慶"
3098,主詞目,局面,kio̍k-bīn,境況、狀態-擬事
3099,主詞目,妨害,hông-hāi,境況、狀態-擬人
3100,主詞目,尾胴骨,bué-tâng-kut/bé-tâng-kut,生理構造
3101,主詞目,妗婆,kīm-pô,"宗族、家庭,稱謂輩分"
3102,主詞目,完婚,uân-hun,"兩性、婚姻,婚喪喜慶"
3103,主詞目,尿桶,jiō-tháng/liō-tháng,生活用品
3104,主詞目,尿桸,jiō-hia/liō-hia,"農林業,生產工具"
3105,主詞目,希望,hi-bāng,心理活動
3106,主詞目,屁窒仔,phuì-that-á,"體態樣貌,氣質態度"
3107,主詞目,妖術,iau-su̍t,相關器具、活動
3108,主詞目,尿壺,jiō-ôo/liō-ôo,生活用品
3109,主詞目,完結,uân-kiat,一般動詞-靜態動詞
3110,主詞目,完結篇,uân-kiat-phinn,事、物泛稱
3111,主詞目,尾脽,bué-tsui/bé-tsui,"動物形體、行為,食物、飲料、煙酒"
3112,主詞目,巡視,sûn-sī,相關用語
3113,主詞目,局勢,kio̍k-sè,境況、狀態-擬事
3114,主詞目,孝敬,hàu-kìng,"宗族、家庭,交際應酬"
3115,主詞目,尾溜,bué-liu/bé-liu,"動物形體、行為,生理構造,境況、狀態-擬事"
3116,主詞目,妥當,thò-tòng,境況、狀態-擬事
3117,主詞目,妖道,iau-tō,相關器具、活動
3118,主詞目,尿道,jiō-tō/liō-tō,生理構造
3119,主詞目,妖精,iau-tsiann,神明、鬼怪、教派
3120,主詞目,妖嬌,iau-kiau,體態樣貌
3121,主詞目,尾蝶,bué-ia̍h/bé-ia̍h,昆蟲類
3122,主詞目,尾幫車,bué-pang-tshia/bé-pang-tshia,交通、運輸
3123,主詞目,尾聲,bué-siann/bé-siann,"戲劇、音樂,語言、文字、符號,事、物泛稱"
3124,主詞目,妨礙,hông-gāi,境況、狀態-擬人
3125,主詞目,妖孽,iau-gia̍t,神明、鬼怪、教派
3126,主詞目,床,tshn̂g,生活用品
3127,主詞目,床,sn̂g,"飲食物具,數詞、量詞"
3128,主詞目,序,sū,"文學、藝術,語言、文字、符號"
3129,主詞目,弄,lāng,"休閒、娛樂,一般動詞-行為動詞"
3130,主詞目,弟,tē,稱謂輩分
3131,主詞目,弟,tī,"宗族、家庭,稱謂輩分"
3132,主詞目,形,hîng,形貌、體積
3133,主詞目,忌,khī,語言、文字、符號
3134,主詞目,忍,jím/lím,心理活動
3135,主詞目,忍,lún,心理活動
3136,主詞目,志,tsì,"心理狀態,教育、學術,文學、藝術"
3137,主詞目,忘,bōng,"心理活動,一般動詞-靜態動詞"
3138,主詞目,快,khuài,性質、程度
3139,主詞目,我,guá,代名詞
3140,主詞目,我,ngóo,代名詞
3141,主詞目,扭,ngiú,一般動詞-行為動詞
3142,主詞目,扭,láu,肢體動作
3143,主詞目,扮,pān,"理容、化妝,戲劇、音樂"
3144,主詞目,扯,tshé,"交際應酬,一般動詞-行為動詞,一般動詞-靜態動詞"
3145,主詞目,扱,khi̍p,肢體動作
3146,主詞目,扲,gīm,肢體動作
3147,主詞目,扳,pian,肢體動作
3148,主詞目,扴,ke̍h,"一般動詞-行為動詞,一般動詞-靜態動詞"
3149,主詞目,扶,hû,"肢體動作,婚喪喜慶,待人處事"
3150,主詞目,扶,phôo,"肢體動作,交際應酬,待人處事"
3151,主詞目,扷,ió,肢體動作
3152,主詞目,扶𡳞脬,phôo-lān-pha,"交際應酬,待人處事"
3153,主詞目,床巾,tshn̂g-kin/tshn̂g-kun,生活用品
3154,主詞目,序大,sī-tuā,"宗族、家庭,稱謂輩分"
3155,主詞目,弟子,tē-tsú,"稱謂輩分,教育、學術,神職、神巫、信徒"
3156,主詞目,序大人,sī-tuā-lâng,"宗族、家庭,稱謂輩分"
3157,主詞目,忌日,kī-ji̍t/kī-li̍t,生養老死
3158,主詞目,扮仙,pān-sian,戲劇、音樂
3159,主詞目,床母,Tshn̂g-bú,神明、鬼怪、教派
3160,主詞目,扭尻川,ngiú kha-tshng,肢體動作
3161,主詞目,形式,hîng-sik,形貌、體積
3162,主詞目,庇佑,pì-iū,相關器具、活動
3163,主詞目,扶助,hû-tsōo,待人處事
3164,主詞目,忌床,khī-tshn̂g,心理狀態
3165,主詞目,快車,khuài-tshia,交通、運輸
3166,主詞目,扴味,ke̍h-bī,顏色、氣味
3167,主詞目,形狀,hîng-tsōng,形貌、體積
3168,主詞目,弄狗相咬,lōng-káu-sio-kā,待人處事
3169,主詞目,扶持,hû-tshî,肢體動作
3170,主詞目,快活,khuìnn-ua̍h,"心理狀態,生活狀況"
3171,主詞目,忍耐,jím-nāi/lím-nāi,心理活動
3172,主詞目,弄風,lāng-hong,一般動詞-行為動詞
3173,主詞目,形容,hîng-iông,一般動詞-行為動詞
3174,主詞目,扶挺,phôo-thánn,"交際應酬,待人處事"
3175,主詞目,忍氣,lún-khì,心理活動
3176,主詞目,志氣,tsì-khì,心理狀態
3177,主詞目,扮笑面,pān-tshiò-bīn,交際應酬
3178,主詞目,忤逆,ngóo-gi̍k,"道德評價,心理活動"
3179,主詞目,弟婦仔,tē-hū-á,稱謂輩分
3180,主詞目,扭掠,liú-lia̍h,"才智能力,境況、狀態-擬人,境況、狀態-擬物"
3181,主詞目,序細,sī-sè/sī-suè,稱謂輩分
3182,主詞目,忌喙,khī-tshuì,飲食行為
3183,主詞目,弄喙花,lāng-tshuì-hue,"個性風格,語言、文字、符號"
3184,主詞目,扶插,hû-tshah,肢體動作
3185,主詞目,形勢,hîng-sè,事、物泛稱
3186,主詞目,扭搦,liú-la̍k,交際應酬
3187,主詞目,弄新娘,lāng-sin-niû,"兩性、婚姻,婚喪喜慶"
3188,主詞目,弄獅,lāng-sai,相關器具、活動
3189,主詞目,扳過來,pian--kuè-lâi/pian--kè-lâi,一般動詞-行為動詞
3190,主詞目,形影,hîng-iánn,生活狀況
3191,主詞目,扶養,hû-ióng,生養老死
3192,主詞目,弄龍,lāng-lîng,相關器具、活動
3193,主詞目,志願,tsì-guān,心理狀態
3194,主詞目,弄鐃,lāng-lâu,相關器具、活動
3195,主詞目,批,phue,"商業,郵電、網路,一般動詞-行為動詞,數詞、量詞"
3196,主詞目,找,tsāu,財務單位、活動
3197,主詞目,技,ki,才智能力
3198,主詞目,抄,tshau,"教育、學術,法律"
3199,主詞目,抉,kuat,肢體動作
3200,主詞目,把,pé,"肢體動作,數詞、量詞"
3201,主詞目,抌,tìm,肢體動作
3202,主詞目,抐,lā,
3203,主詞目,抑,ia̍h,連詞、介詞
3204,主詞目,抓,jiàu/liàu,"動物形體、行為,肢體動作"
3205,主詞目,抔,put,一般動詞-行為動詞
3206,主詞目,投,tâu,"肢體動作,交際應酬,一般動詞-行為動詞"
3207,主詞目,折,tsiat,"財務單位、活動,一般動詞-靜態動詞"
3208,主詞目,折,tsi̍h,"傷疾病痛,境況、狀態-擬物,一般動詞-行為動詞"
3209,主詞目,改,kái,"一般動詞-行為動詞,數詞、量詞"
3210,主詞目,攻,kong,"教育、學術,軍事"
3211,主詞目,旱,hān,"氣候溫度,自然現象"
3212,主詞目,旱,huānn,"氣候溫度,自然現象"
3213,主詞目,旱,uānn,"氣候溫度,自然現象"
3214,主詞目,更,kenn/kinn,數詞、量詞
3215,主詞目,杆,kuainn,生活用品
3216,主詞目,杆,kuann,事、物泛稱
3217,主詞目,李,lí,"花草樹木,宗族、家庭"
3218,主詞目,杏,hīng,"花草樹木,醫療保健"
3219,主詞目,材,tsâi,"植物形體、狀態,事、物泛稱"
3220,主詞目,村,tshun,"地理,居住環境"
3221,主詞目,杓,sia̍h,"生活用品,數詞、量詞"
3222,主詞目,杙,khi̍t,"農林業,漁牧業,建築物、結構"
3223,主詞目,技工,ki-kang,科技、工業
3224,主詞目,杏仁,hīng-jîn/hīng-lîn,"蔬果作物,醫療保健,食物、飲料、煙酒"
3225,主詞目,杏仁茶,hīng-jîn-tê/hīng-lîn-tê,食物、飲料、煙酒
3226,主詞目,杉仔,sam-á,"花草樹木,建築物、結構"
3227,主詞目,李仔,lí-á,"蔬果作物,食物、飲料、煙酒"
3228,主詞目,杓仔,sia̍h-á,生活用品
3229,主詞目,杙仔,khi̍t-á,"農林業,漁牧業,建築物、結構"
3230,主詞目,杉仔柴,sam-á-tshâ,花草樹木
3231,主詞目,李仔鹹,lí-á-kiâm,食物、飲料、煙酒
3232,主詞目,杜伯仔,tōo-peh-á,昆蟲類
3233,主詞目,改良,kái-liông,一般動詞-行為動詞
3234,主詞目,杜定,tōo-tīng,爬蟲、兩棲類
3235,主詞目,批信,phue-sìn,郵電、網路
3236,主詞目,抑是,ia̍h-sī,連詞、介詞
3237,主詞目,投胎,tâu-thai,相關器具、活動
3238,主詞目,投降,tâu-hâng,軍事
3239,主詞目,改革,kái-kik,一般動詞-行為動詞
3240,主詞目,批准,phue-tsún,相關用語
3241,主詞目,技師,ki-su,科技、工業
3242,主詞目,材料,tsâi-liāu,事、物泛稱
3243,主詞目,批紙,phue-tsuá,郵電、網路
3244,主詞目,抓耙仔,jiàu-pê-á/liàu-pê-á,"相關用語,生活用品"
3245,主詞目,杜蚓仔,tōo-kún-á,其他動物
3246,主詞目,改酒,kái-tsiú,飲食行為
3247,主詞目,批桶,phue-tháng,郵電、網路
3248,主詞目,投票,tâu-phiò,政治
3249,主詞目,改途,kái-tôo,相關用語
3250,主詞目,把握,pá-ak,心理狀態
3251,主詞目,改換,kái-uānn,一般動詞-行為動詞
3252,主詞目,批殼,phue-khak,郵電、網路
3253,主詞目,杜猴,tōo-kâu,昆蟲類
3254,主詞目,批筒,phue-tâng,郵電、網路
3255,主詞目,批評,phue-phîng,語言、文字、符號
3256,主詞目,改裝,kái-tsong,"相關用語,飲食行為,建築物、結構"
3257,主詞目,投資,tâu-tsu,財務單位、活動
3258,主詞目,改運,kái-ūn,相關器具、活動
3259,主詞目,抄寫,tshau-siá,"教育、學術,相關器具、活動"
3260,主詞目,投標,tâu-pio,財務單位、活動
3261,主詞目,投稿,tâu-kó,文學、藝術
3262,主詞目,投靠,tâu-khò,生活狀況
3263,主詞目,投機,tâu-ki,"交際應酬,財務單位、活動"
3264,主詞目,找錢,tsāu-tsînn,財務單位、活動
3265,主詞目,把戲,pá-hì,心理活動
3266,主詞目,攻擊,kong-kik,"待人處事,軍事"
3267,主詞目,折舊,tsiat-kū,境況、狀態-擬物
3268,主詞目,改薰,kái-hun,飲食行為
3269,主詞目,杜鵑,tōo-kuan,"禽類,花草樹木"
3270,主詞目,抗議,khòng-gī,一般動詞-行為動詞
3271,主詞目,批囊,phue-lông,郵電、網路
3272,主詞目,抄襲,tshau-si̍p,文學、藝術
3273,主詞目,改變,kái-piàn,"一般動詞-行為動詞,一般動詞-活動動詞"
3274,主詞目,束,sok,"一般動詞-行為動詞,事、物泛稱,數詞、量詞"
3275,主詞目,步,pōo,"肢體動作,數詞、量詞"
3276,主詞目,每,muí,代名詞
3277,主詞目,求,kiû,"心理活動,交際應酬"
3278,主詞目,汫,tsiánn,顏色、氣味
3279,主詞目,汰,thài,"一般動詞-靜態動詞,副詞"
3280,主詞目,汰,thuā,"縫紉洗熨,交際應酬"
3281,主詞目,沃,ak,一般動詞-行為動詞
3282,主詞目,沉,tîm,"顏色、氣味,境況、狀態-擬人,一般動詞-活動動詞"
3283,主詞目,沐,bak,"一般動詞-行為動詞,一般動詞-靜態動詞"
3284,主詞目,沕,bi̍t,一般動詞-活動動詞
3285,主詞目,沖,tshiâng,一般動詞-活動動詞
3286,主詞目,沖,tshiong,"飲食行為,相關器具、活動"
3287,主詞目,沙,sua,"地理,自然現象"
3288,主詞目,灶,tsàu,"飲食物具,建築物、結構,數詞、量詞"
3289,主詞目,每日,muí-ji̍t/muí-li̍t,時間節令
3290,主詞目,決心,kuat-sim,心理活動
3291,主詞目,汽水,khì-tsuí,食物、飲料、煙酒
3292,主詞目,沃水,ak-tsuí,生活勞動
3293,主詞目,沐手,bak-tshiú,一般動詞-行為動詞
3294,主詞目,沐水,bak tsuí,一般動詞-行為動詞
3295,主詞目,沖水,tshiâng-tsuí,一般動詞-行為動詞
3296,主詞目,沖犯,tshiong-huān,待人處事
3297,主詞目,每年,muí-nî,時間節令
3298,主詞目,沒收,bu̍t-siu,"財務單位、活動,法律"
3299,主詞目,沙沙,sua-sua,"境況、狀態-擬物,性質、程度"
3300,主詞目,沐沐泅,bo̍k-bo̍k-siû,肢體動作
3301,主詞目,沖沖滾,tshiâng-tshiâng-kún,"自然現象,飲食行為"
3302,主詞目,沉底,tîm-té/tîm-tué,"境況、狀態-擬事,一般動詞-靜態動詞"
3303,主詞目,沙拉油,sa-lá-iû,食物、飲料、煙酒
3304,主詞目,沃肥,ak-puî,"農林業,生活勞動"
3305,主詞目,沃花,ak-hue,"農林業,生活勞動"
3306,主詞目,沃雨,ak-hōo,一般動詞-行為動詞
3307,主詞目,沙挑,sua-thio,"科技、工業,生產工具"
3308,主詞目,汰衫,thuā-sann,"生活勞動,縫紉洗熨"
3309,主詞目,沉重,tîm-tāng,"傷疾病痛,心理狀態,生活狀況"
3310,主詞目,沙埔,sua-poo,"地理,自然現象"
3311,主詞目,沙屑,sua-sap,"自然現象,個性風格"
3312,主詞目,求神問佛,kiû-sîn-mn̄g-pu̍t,相關器具、活動
3313,主詞目,沙茶,sa-te,食物、飲料、煙酒
